id,lat_wc,lon_wc,display_name_wc,zone_wc,lines_wc,rail_wc,name_wc,lon_tfl,lat_tfl,name_tfl,name,x_do,y_do,lat,lon,zone_do
106,51.4781,-0.0149,NULL,2.5,1,1,Greenwich,-0.014198816568398,51.4777578163502,Greenwich Station,Greenwich,537956,177267,51.477547665535,-0.014848686252722,"2,3"
108,51.4915,-0.2754,NULL,3,1,0,Gunnersbury,-0.275175034795658,51.491793104326,Gunnersbury Station,Gunnersbury,519843,178401,51.491863444709,-0.27514973411264,3
322,,,,,,,,,,,Hackney Central,534922,184943,51.547257451286,-0.055575092639468,2
323,,,,,,,,,,,Hackney Wick,537036,184588,51.543558409072,-0.025245084630728,2
324,,,,,,,,,,,Haggerston,533560,183953,51.538684738939,-0.075580841462924,2
109,51.603,0.0933,NULL,5,1,0,Hainault,0.093119014044497,51.6037272179782,Hainault Station,Hainault,545124,191411,51.602845314928,0.094122987217226,4
110,51.4936,-0.2251,NULL,2,3,0,Hammersmith,-0.224930071064953,51.4934977720066,Hammersmith Station,Hammersmith (Hammersmith & City/Circle),523474,178483,51.493483379174,-0.22462575515926,2
360,,,,,,,,,,,Hammersmith (Piccadilly/District),523346,178665,51.491819802914,-0.22284652701972,2
111,51.5568,-0.178,NULL,2.5,1,0,Hampstead,-0.178219762924765,51.5566884762644,Hampstead Station,Hampstead,526408,185757,51.556542616677,-0.17800013773286,2
325,,,,,,,,,,,Hampstead Heath,527344,185631,51.555199944256,-0.16455176144825,3
112,51.5302,-0.2933,Hanger<br />Lane,3,1,0,Hanger Lane,-0.293007522620696,51.530006403588,Hanger Lane Station,Hanger Lane,518506,182621,51.530072069094,-0.29298173181915,3
113,51.5362,-0.2575,NULL,3,1,0,Harlesden,-0.257502755154928,51.5361929101547,Harlesden Station,Harlesden,520952,183367,51.536258358843,-0.25748125850322,3
326,,,,,,,,,,,Harringay Green Lanes,531880,188189,51.57714590447,-0.098202962998489,3
114,51.5925,-0.3351,Harrow &<br />Wealdston,5,1,1,Harrow & Wealdstone,-0.335231166241642,51.5922088279649,Harrow & Wealdstone Station,Harrow and Wealdstone,515486,189508,51.592594673236,-0.33423825163137,5
115,51.5793,-0.3366,Harrow-<br />on-the-Hill,5,1,1,Harrow-on-the-Hill,-0.337015904256827,51.5793288672811,Harrow on the Hill Station,Harrow-on-the-Hill,515329,188035,51.579388159582,-0.33698708805734,5
327,,,,,,,,,,,Hatch End,513024,191370,51.609828548789,-0.36916434211502,6
116,51.4669,-0.4227,Hatton<br />Cross,5.5,1,0,Hatton Cross,-0.423409349454663,51.4666141734628,Hatton Cross Station,Hatton Cross,509614,175369,51.466685355642,-0.42336616986103,"5,6"
328,,,,,,,,,,,Headstone Lane,513892,190574,51.602499669538,-0.35689307782418,5
118,51.4598,-0.4476,Heathrow<br />Terminal 4,6,1,0,Heathrow Terminal 4,-0.446058766977937,51.458553104092,Heathrow Terminal 4 Station,Heathrow Terminal 4,507939,174565,51.45978048411,-0.44771519861354,6
329,,,,,,,,,,,Heathrow Terminal 5,504934,175642,51.470025485584,-0.49063310869077,6
